time0,accel
0.0,0.0
0.0023911358452899448,0.5831682857053124
0.0034865154734222193,1.4325959459412303
0.004012523935124296,2.429056965508913
0.004351884232996603,3.36440170920978
0.00447631634221645,3.980878926648991
0.00462588625127869,4.822728562341048
0.004907429609513489,6.1633499952843565
0.005083394208410244,7.4095905770903485
0.005268157037251829,8.51477656568197
0.005505709245762443,9.876425451026982
0.0057872526039972495,11.2433820849678
0.005862037558528368,12.46275512520915
0.006178773836542522,13.755497221261628
0.006313386754698531,15.118921618968784
0.0065011661195212124,16.342310028059345
0.006713266305691402,17.675574872240915
0.006772654357819053,18.623275732584418
0.007010206566329668,19.827664951568565
0.007089390635833208,20.98927277744594
0.007282951694619637,22.10200234501533
0.007494109213295733,23.577650397104016
0.007643679122357977,25.01072372948257
0.007835983291152286,26.28566238865211
0.007960415400372131,27.281237665091293
0.008118783539379205,28.361622846084792
0.008268353448441448,29.581512569817768
0.008537327906755049,30.764570141790426
0.008871032199662817,31.91898868594144
0.009216048502499664,33.05628286294136
0.010415121554981813,33.54907813080029
0.011734856046707452,33.704646833006734
0.01218596529115185,34.91199523926111
0.012561889661522177,36.22606227214986
0.012881139719520571,37.43008243149713
0.013107379918102109,38.49120269944565
0.013519137079520509,39.7684442907493
0.013718228454272261,41.097058983506216
0.014110378131813593,42.40146336408401
0.015044344079804045,43.57155274820087
0.01576796465342099,43.6490620853537
0.01636523877767625,42.71265444989863
0.016987399323775482,41.77265955477311
0.017779240018810864,40.958883055459495
0.01928373733937809,40.29602510692769
0.021025786868455926,40.92506377237114
0.022530284189023156,40.70312472710379
0.023480493023065617,39.787044896447895
0.024409106201788926,38.78092122456925
0.0252873295181009,37.89823793596311
0.026489487664200062,37.01555464735696
0.027428384488313452,36.04832315102993
0.02819986356547649,35.11085262382065
0.028805621697178554,34.28126560966324
0.02969284320320684,33.376599787049656
0.03131971590391589,32.7272695517532
0.032518788956398044,31.903045309628357
0.03299389337341927,31.15902108168448
0.03367764152913237,30.244934173067723
0.034328710545050344,29.310253736713232
0.03489431104150418,28.390188061979064
0.035578059197217286,27.44244291447913
0.036229128213135266,26.72941969603292
0.03666464059540472,25.7567630230438
0.03740557724575926,24.768915855400813
0.0379711777422131,23.86492641844901
0.03860465029824141,22.90699522497127
0.03915893878476618,22.10406907898184
0.03963404320178741,21.322843639640773
0.04002996354930509,20.67926268246933
0.040643640087957525,19.540285593525248
0.04105935645285109,18.762160255133946
0.04161364493937586,17.875531383500828
0.04208874935639709,16.939300896671455
0.04256385377341832,15.990670006043011
0.04297108613086509,15.194386933517364
0.04355365464221255,13.71829600986444
0.04393637764481299,12.723163604989509
0.04422671923299262,11.84273493525592
0.04454345551100678,10.912704650326075
0.04491957984114859,9.937722901624632
0.04530136017625493,9.061501511751445
0.04582171263299246,7.902949499667407
0.046296817050013685,6.840057745461877
0.04660224131809878,5.9897443420974525
0.046998161665616475,5.064438020519631
0.04739408201313415,4.086282358941041
0.047631634221644764,3.266615667822876
0.04783525040036815,2.3759123777986417
0.04814633067341777,1.3116920089003514
0.048858987298949615,0.1770550612859409
0.049927972237247376,0.0747517299436566
